date,avg_analog_ret,actual_ret,signal
2010-08-17,0.07322379690818126,0.05117466717973329,True
2010-08-18,0.06627753573028539,0.07245634014172864,True
2010-08-19,0.062067879374776064,0.021819862940435142,True
2010-08-20,0.04250219680780498,0.04188535102449653,True
2010-08-23,-0.005015136356293026,-0.012915820120822263,False
2010-08-24,0.02444398341808372,0.03489609885728573,False
2010-08-25,0.0023123840672543807,-0.0015075179561948593,False
2010-08-26,0.013776053493312927,-0.013670888093013867,False
2010-08-27,-0.008039812778076394,0.03807103834461456,False
2010-08-30,-0.0069495315772581945,0.033718702619268015,False
2010-08-31,-0.0026238787972971763,0.054414316567419574,False
2010-09-01,-0.04473813190109732,0.004401009892391672,False
2010-09-02,0.06276585423904635,-0.02469160540775439,True
2010-09-03,0.04388698040953365,-0.007125885893742856,True
2010-09-07,0.0042942099856228,0.008763364690490771,False
2010-09-08,0.05353570491278214,-0.00861241718517014,True
2010-09-09,0.049030218499822455,0.019796968953383676,True
2010-09-10,0.009760721597835179,0.08973673842745189,False
2010-09-13,0.03936372811858685,0.016409548217681147,True
2010-09-14,0.03700469054874063,-0.0028408725307252913,True
2010-09-15,0.03402237734226321,-0.041855975185370986,True
2010-09-16,0.03470410634848139,-0.008118186614965994,True
2010-09-17,0.01690410665325117,-0.01779538476320064,False
2010-09-20,0.03478688692821159,-0.025165980250995035,True
2010-09-21,0.05173763995723127,-0.01155514789854084,True
2010-09-22,0.031155107953372098,0.03321591791011458,True
2010-09-23,0.034642366581548886,0.09406974931767764,True
2010-09-24,0.03003982489778594,0.09353205106249729,True
2010-09-27,0.048140236520122864,0.022405737513229385,True
2010-09-28,0.04865573943135093,-0.0191593240166279,True
2010-09-29,0.037336287140093176,-0.045040946610929944,True
2010-09-30,0.019180252119057405,0.0347866174667093,False
2010-10-01,0.038705977386735965,-0.006795886097924919,True
2010-10-04,0.02468872609158964,-0.03573127505014306,False
2010-10-05,0.016302872060620567,-0.04166686421994126,False
2010-10-06,0.006855619132013194,-0.01075287048373541,False
2010-10-07,0.006448369001962284,-0.009300250216974892,False
2010-10-08,0.014762691855356454,0.005384023714421371,False
2010-10-11,0.02218873849746182,-0.0004935937067376273,False
2010-10-12,0.025376329436156853,-0.0004935937067376273,False
2010-10-13,0.02582590124126628,-0.015092021292617885,False
2010-10-14,0.029101808298308017,-0.03373448562499326,False
2010-10-15,0.019627431590453912,0.005355887689502126,False
2010-10-18,0.01896963835094252,0.030647268262108396,False
2010-10-19,0.03578767187035996,0.039900024748556806,True
2010-10-20,0.013355840721705314,0.0096849585047869,False
2010-10-21,0.027623397051642965,0.029397880326136105,False
2010-10-22,0.031958639346662876,0.013513745591031467,True
2010-10-25,0.0283398785105096,0.026858282022595548,False
2010-10-26,0.021888252150851804,0.0023405705537320465,False
2010-10-27,0.030867982224902547,0.01952358687815625,True
2010-10-28,0.01164268408852639,0.0028314871087762317,False
2010-10-29,0.006703385750725576,-0.003205305337489417,False
2010-11-01,0.0254769447020793,0.1667445758855699,False
2010-11-02,0.01974084467690604,0.17552893570643335,False
2010-11-03,0.022946154650676797,0.1474506401162281,False
2010-11-05,0.01532249001103736,0.20130933675235796,False
2010-11-08,0.012815901489134474,0.23298643805584973,False
2010-11-09,0.021193108802162887,0.2505073654935126,False
2010-11-10,0.02522396901204033,0.04904636915376237,False
2010-11-11,0.025830622794094184,0.05813143744616922,False
2010-11-12,0.022847160310046258,-0.01172909325321847,False
2010-11-15,0.015920501352568995,0.08441586414226254,False
2010-11-16,0.019746650079972818,0.1257163179373153,False
2010-11-17,0.026033348018172496,0.13258747284972006,False
2010-11-18,0.030945173654643488,0.1565741002082952,True
2010-11-19,0.0235848807200439,0.1445629023457804,False
2010-11-22,0.017228768751869464,0.027844324392851894,False
2010-11-23,0.02033553706919754,-0.006942448715012373,False
2010-11-24,0.014380887864246685,-0.032139822297182596,False
2010-11-26,0.02382893842190796,-0.027463326187864623,False
2010-11-29,0.03073044354213517,-0.11709868308997518,True
2010-11-30,0.03173600332554737,-0.14208861377734938,True
2010-12-01,0.034589770682552416,-0.11761261582041604,True
2010-12-07,0.012885983541389812,-0.032002366961532136,False
2010-12-08,0.011997139122074379,-0.05622469150315068,False
2010-12-09,-0.013823756150810034,-0.10982856070372227,False
2010-12-10,-0.01110102374069011,-0.06091367131518688,False
2010-12-13,-0.02067492323372988,0.037642812600344966,False
2010-12-15,-0.006854892631370235,0.07094595063997566,False
2010-12-16,-0.014097976524777315,0.047062831539970595,False
2010-12-17,-0.010691036954349992,0.040497130025420436,False
2010-12-20,-0.0026584010029688,-0.1940063251632087,False
2010-12-21,-0.0015683423858773298,-0.2079977708678773,False
2010-12-22,0.009796304542053956,-0.2169782731448724,False
2010-12-23,0.0020980477989397837,-0.12229963628687901,False
2010-12-28,-0.019191132758426543,0.007951565197167332,False
2010-12-29,0.013684005871219318,-0.0400288423660361,False
2010-12-30,0.03287119022419175,0.006414898045375095,True
2010-12-31,0.016421866515034134,0.007510656486290124,False
2011-01-03,0.04514721524347132,0.06874527859433743,True
2011-01-04,0.10987147666178093,0.06674184852843923,True
2011-01-05,0.14953366573903096,0.060380183820427424,True
2011-01-06,0.05176261005734186,-0.03299892525662329,True
2011-01-07,0.016448009280565536,-0.04532609635118945,False
2011-01-10,0.036694127523119936,-0.09877013746232344,True
2011-01-11,0.1385961201019757,-0.04896146625330744,True
2011-01-12,0.14346746934489343,-0.04896146625330744,True
2011-01-13,0.17515355933871615,-0.022120756417029708,True
2011-01-14,0.14182997802213732,-0.06679632930838886,True
2011-01-18,0.13570583864260097,-0.04485141283962446,True
2011-01-19,0.03356686548222926,0.01914291348396957,True
2011-01-20,0.0785931291113365,0.09106965118872146,True
2011-01-21,0.08184449093608855,0.07421872514047845,True
2011-01-24,0.12495552113406214,-0.015924805577299805,True
2011-01-25,0.10360489383593505,-0.02350041522805224,True
2011-01-26,0.0951096988689422,-0.026262384851952536,True
2011-01-27,0.09585880231350809,-0.04052949314777243,True
2011-01-28,0.12200318718626363,-0.002915686827083208,True
2011-01-31,0.1109233038591417,-0.04273882042188193,True
2011-02-01,0.09487708109584041,-0.035131740849770665,True
