date,Open,High,Low,Close,Volume
2010-01-04 00:00:00-05:00,6.422875746236436,6.455075825369143,6.391277552762015,6.4403300285339355,493729600
2010-01-05 00:00:00-05:00,6.458086826968792,6.487879368872802,6.417459939457402,6.451466083526611,601904800
2010-01-06 00:00:00-05:00,6.451465539489639,6.477045280657176,6.342225692663006,6.348846435546875,552160000
2010-01-07 00:00:00-05:00,6.372319959542432,6.379843531927759,6.291066984952576,6.3371100425720215,477131200
2010-01-08 00:00:00-05:00,6.328684263710754,6.379843754126937,6.2913689505515755,6.379241466522217,447610800
2010-01-11 00:00:00-05:00,6.403917316228298,6.409936173343546,6.273010388314571,6.3229660987854,462229600
2010-01-12 00:00:00-05:00,6.295278325516592,6.312733411200337,6.211919573553115,6.251040935516357,594459600
2010-01-13 00:00:00-05:00,6.255556925343339,6.34764263282566,6.1421038718775645,6.339216232299805,605892000
2010-01-14 00:00:00-05:00,6.322965791664653,6.33349838931188,6.2901634237727,6.302501678466797,432894000
2010-01-15 00:00:00-05:00,6.3476433413991735,6.367806516336812,6.1953698453199975,6.1971755027771,594067600
2010-01-19 00:00:00-05:00,6.26939991973662,6.475841925122603,6.236598349412447,6.471327781677246,730007600
2010-01-20 00:00:00-05:00,6.467414465836276,6.486674406258934,6.304608403474319,6.37171745300293,612152800
2010-01-21 00:00:00-05:00,6.382252290771933,6.4192670685795,6.235695885340375,6.261576175689697,608154400
2010-01-22 00:00:00-05:00,6.222755665837171,6.244422753190375,5.933255397936398,5.951010227203369,881767600
2010-01-25 00:00:00-05:00,6.094252571996611,6.160157029217434,6.024435456999483,6.111104965209961,1065699600
2010-01-26 00:00:00-05:00,6.197775899349655,6.431302317713258,6.096360573968853,6.197474956512451,1867110000
2010-01-27 00:00:00-05:00,6.224861227692589,6.33711011643965,6.004575847197516,6.255857944488525,1722568400
2010-01-28 00:00:00-05:00,6.167082132562241,6.184235074027143,5.9795987265158175,5.997353553771973,1173502400
2010-01-29 00:00:00-05:00,6.051221514344954,6.0849263149904775,5.725307591416028,5.7797770500183105,1245952400
2010-02-01 00:00:00-05:00,5.78910558295049,5.898345437483027,5.756905498420523,5.860126495361328,749876400
2010-02-02 00:00:00-05:00,5.895635822587143,5.907974075653729,5.819498900991906,5.894130706787109,698342400
2010-02-03 00:00:00-05:00,5.873367770925905,6.0247388299284275,5.850797456017155,5.995547771453857,615328000
2010-02-04 00:00:00-05:00,5.920313902761244,5.96966773508442,5.765031383318195,5.779476642608643,757652000
2010-02-05 00:00:00-05:00,5.7969299610829745,5.898345298354097,5.74336293336589,5.882094383239746,850306800
2010-02-08 00:00:00-05:00,5.889018368410302,5.9549232715467095,5.838159810160116,5.841771125793457,478270800
2010-02-09 00:00:00-05:00,5.910984509080721,5.943485535788941,5.860728254652928,5.9040632247924805,632886800
2010-02-10 00:00:00-05:00,5.895033250410579,5.916400591530323,5.845981179972038,5.871861457824707,370361600
2010-02-11 00:00:00-05:00,5.864640381948894,6.011196343551841,5.839963468695428,5.978694915771484,550345600
2010-02-12 00:00:00-05:00,5.961842358404085,6.068073178458809,5.883298281323169,6.030155181884766,655468800
2010-02-16 00:00:00-05:00,6.0771020528240065,6.129765856250115,6.0644628525037625,6.121038913726807,543737600
2010-02-17 00:00:00-05:00,6.144812970679,6.148424285786428,6.044600985412663,6.095459938049316,436396800
2010-02-18 00:00:00-05:00,6.067772317592677,6.135784609934059,6.046406175112895,6.106894493103027,422825200
2010-02-19 00:00:00-05:00,6.074693287277048,6.115018420716437,6.052122575252121,6.06897497177124,415469600
2010-02-22 00:00:00-05:00,6.089137501488681,6.093952184422035,5.994342529906764,6.031357288360596,390563600
2010-02-23 00:00:00-05:00,6.018719157494267,6.058743752775308,5.889617889778194,5.930243968963623,575094800
2010-02-24 00:00:00-05:00,5.9654525225174515,6.062053152477641,5.953715753302369,6.038580417633057,460566400
2010-02-25 00:00:00-05:00,5.939873688124215,6.1047863386915715,5.925127891456666,6.078906059265137,665126000
2010-02-26 00:00:00-05:00,6.090341497444216,6.1743025370301305,6.078906071835961,6.157751083374023,507460800
2010-03-01 00:00:00-05:00,6.191757462401463,6.304608623247241,6.182729578466092,6.289261341094971,550093600
2010-03-02 00:00:00-05:00,6.317550068428545,6.34463452941129,6.25164517617949,6.2850494384765625,566546400
2010-03-03 00:00:00-05:00,6.287754963144181,6.315741839699387,6.257661487008487,6.299490928649902,372052800
2010-03-04 00:00:00-05:00,6.297989263284817,6.347342292449356,6.278427572700077,6.341022491455078,366041200
2010-03-05 00:00:00-05:00,6.468318269506473,6.61156386308845,6.458989040418914,6.588993549346924,899620400
2010-03-08 00:00:00-05:00,6.620891924997233,6.623299065916412,6.5679271907112815,6.592905044555664,429889600
2010-03-09 00:00:00-05:00,6.569734941159027,6.771060943089277,6.557095739686336,6.711475849151611,920259200
2010-03-10 00:00:00-05:00,6.735850861607487,6.7855052333841055,6.716891861213809,6.766244888305664,596218000
2010-03-11 00:00:00-05:00,6.738257726756623,6.786105632781982,6.720502097923959,6.786105632781982,405700400
2010-03-12 00:00:00-05:00,6.842381928305325,6.853215873199394,6.793630783453784,6.819210529327393,416323600
2010-03-15 00:00:00-04:00,6.782494254112873,6.786104764403959,6.628113800225308,6.73615026473999,493502800
2010-03-16 00:00:00-04:00,6.7463824865430695,6.770457110827818,6.696126236242051,6.754507541656494,446908000
2010-03-17 00:00:00-04:00,6.76804871294782,6.814693643175027,6.718996642030547,6.7445759773254395,450956800
2010-03-18 00:00:00-04:00,6.7439739223481565,6.771058777827615,6.699135046559087,6.760526180267334,342109600
2010-03-19 00:00:00-04:00,6.764739920050717,6.77828194707869,6.657606269899051,6.688302040100098,559445600
2010-03-22 00:00:00-04:00,6.634736584315758,6.801154390473503,6.625106411597116,6.7635369300842285,456419600
2010-03-23 00:00:00-04:00,6.790317520298413,6.884811953394628,6.743973132160503,6.8721723556518555,602431200
2010-03-24 00:00:00-04:00,6.850507378399074,6.927547152525729,6.846594718962101,6.90256929397583,597780400
2010-03-25 00:00:00-04:00,6.949212820932059,6.950717936896663,6.808675329838744,6.820713043212891,542284400
2010-03-26 00:00:00-04:00,6.889930507429167,6.980210965531149,6.8778927915812345,6.948613166809082,640875200
2010-03-29 00:00:00-04:00,7.011808557447748,7.037989380265627,6.97027924734253,6.99345064163208,540744400
2010-03-30 00:00:00-04:00,7.120143110405738,7.146626075281803,7.04942276185364,7.0975728034973145,527310000
2010-03-31 00:00:00-04:00,7.086739471883904,7.120444259031283,7.055742767913377,7.071992874145508,430659600
2010-04-01 00:00:00-04:00,7.144520286281626,7.184243133164767,7.004284140098637,7.101185321807861,603145200
2010-04-05 00:00:00-04:00,7.0713938483071255,7.177623866009455,7.065073646414248,7.1770219802856445,684507600
2010-04-06 00:00:00-04:00,7.168296431019854,7.2296871795977955,7.132184084164729,7.208621978759766,447017200
2010-04-07 00:00:00-04:00,7.208919976252761,7.28024221782921,7.182136467585722,7.240518569946289,628502000
2010-04-08 00:00:00-04:00,7.2357054635241695,7.268808378547662,7.163480775548215,7.220959663391113,572989200
2010-04-09 00:00:00-04:00,7.265498284212116,7.279341657211972,7.236307225548812,7.276331424713135,334182800
2010-04-12 00:00:00-04:00,7.28867056360923,7.314852196528277,7.2769341912209455,7.291379451751709,333026400
2010-04-13 00:00:00-04:00,7.2784383383159215,7.306726166168728,7.255867219949647,7.295590877532959,306210800
2010-04-14 00:00:00-04:00,7.3813580521088324,7.397307622619901,7.3449451697746895,7.393696308135986,404076400
